reviewerID,productID,score
R0,P6181,5
R0,P2276,2
R0,P1382,5
R0,P4797,5
R0,P281,1
R0,P5556,5
R0,P1523,4
R0,P4693,4
R0,P5494,5
R0,P2245,5
R0,P4534,4
R0,P5629,5
R0,P198,4
R0,P2800,5
R0,P5296,1
R0,P5179,5
R0,P5252,5
R0,P2850,5
R0,P36,5
R0,P5214,2
R1,P6225,5
R1,P3668,5
R1,P3584,5
R1,P3469,3
R1,P4391,5
R1,P5113,5
R1,P2210,5
R1,P1073,5
R1,P5693,4
R1,P3523,5
R1,P1211,4
R1,P595,5
R1,P4764,4
R2,P1355,2
R2,P5307,5
R2,P4189,4
R2,P1656,5
R2,P4804,1
R2,P507,1
R2,P1209,2
R2,P2552,1
R2,P6245,1
R2,P2991,2
R2,P3519,2
R2,P4909,3
R2,P5541,1
R2,P5896,3
R2,P2235,2
R2,P4464,1
R2,P5785,3
R2,P4131,2
R2,P2524,1
R2,P221,1
R2,P369,1
R2,P3349,2
R2,P3294,2
R2,P5918,1
R2,P4277,3
R2,P5495,1
R2,P2534,3
R2,P1371,3
R2,P281,3
R2,P3725,1
R2,P6276,1
R2,P4413,2
R2,P866,2
R2,P3429,4
R3,P1977,3
R3,P2675,3
R3,P5771,5
R3,P4866,3
R3,P6417,3
R4,P2675,5
R4,P3247,5
R4,P5097,5
R4,P5909,4
R4,P3756,5
R5,P4585,5
R5,P5219,5
R5,P4040,5
R5,P308,5
R5,P4443,5
R5,P686,5
R6,P3040,5
R6,P5005,2
R6,P5339,3
R6,P3166,1
R6,P4686,3
R6,P2976,3
R7,P1703,1
R7,P2980,1
R7,P2538,1
R7,P3117,1
R7,P1447,1
R7,P2878,1
R7,P1189,5
R8,P5584,5
R8,P4357,5
R8,P4807,5
R8,P2984,5
R8,P4700,2
R8,P5296,1
R8,P113,5
R8,P6035,4
R8,P5807,5
R8,P6000,3
R8,P4765,1
R8,P4492,5
R8,P4199,5
R8,P2466,4
R8,P2674,5
R8,P3977,5
R8,P1063,5
R8,P5035,3
R8,P2356,1
R8,P753,5
R9,P4842,2
R9,P3647,5
R9,P3588,2
R9,P5685,4
R9,P3541,5
R9,P127,4
R9,P1757,5
R9,P5542,2
R9,P3157,4
R9,P4728,5
R9,P1099,5
R9,P1043,5
R9,P4407,4
R9,P661,4
R9,P2685,4
R9,P260,5
R9,P2027,3
R10,P383,5
R10,P4496,3
R10,P1039,4
R10,P3010,5
R10,P1075,5
R10,P266,5
R10,P5789,4
R10,P3176,3
R10,P3476,3
